iter	Passed	Remaining
0	157	157724
1	161	80517
2	163	54259
3	164	41029
4	166	33094
5	167	27816
6	169	24105
7	171	21318
8	175	19299
9	176	17517
10	178	16086
11	180	14875
12	182	13840
13	184	12975
14	186	12219
15	188	11606
16	190	11014
17	192	10485
18	193	10008
19	196	9614
20	198	9259
21	228	10154
22	231	9831
23	236	9611
24	238	9296
25	240	9003
26	242	8727
27	245	8519
28	247	8272
29	251	8130
30	253	7933
31	258	7805
32	260	7629
33	261	7442
34	269	7431
35	275	7370
36	294	7664
37	311	7894
38	317	7823
39	320	7689
40	324	7585
41	326	7442
42	328	7300
43	331	7193
44	333	7068
45	336	6983
46	339	6880
47	341	6775
48	345	6715
49	347	6606
50	349	6505
51	357	6522
52	362	6483
53	364	6386
54	366	6296
55	368	6210
56	370	6125
57	372	6046
58	375	5996
59	377	5919
60	379	5840
61	381	5766
62	382	5692
63	384	5622
64	386	5556
65	388	5498
66	391	5452
67	393	5393
68	395	5330
69	398	5292
70	400	5243
71	410	5288
72	412	5244
73	420	5266
74	423	5219
75	425	5171
76	426	5118
77	429	5072
78	433	5053
79	441	5081
80	446	5061
81	449	5032
82	450	4978
83	452	4936
84	454	4893
85	456	4849
86	458	4807
87	460	4771
88	462	4737
89	465	4705
90	467	4667
91	469	4630
92	471	4594
93	472	4554
94	474	4519
95	476	4483
96	478	4456
97	480	4422
98	482	4388
99	483	4353
100	485	4321
101	487	4290
102	488	4258
103	490	4224
104	494	4211
105	496	4184
106	498	4157
107	500	4133
108	504	4120
109	505	4093
110	511	4095
111	521	4134
112	528	4145
113	534	4157
114	536	4128
115	538	4101
116	540	4078
117	542	4051
118	543	4024
119	545	3998
120	548	3985
121	549	3958
122	551	3932
123	555	3921
124	556	3897
125	558	3873
126	562	3863
127	564	3843
128	566	3825
129	569	3814
130	571	3791
131	573	3770
132	574	3747
133	577	3734
134	580	3718
135	581	3696
136	584	3681
137	586	3663
138	588	3645
139	592	3637
140	594	3619
141	595	3595
142	596	3573
143	598	3557
144	601	3546
145	603	3531
146	605	3512
147	607	3495
148	609	3478
149	610	3460
150	612	3443
151	614	3426
152	615	3409
153	617	3393
154	622	3393
155	624	3377
156	626	3361
157	629	3352
158	631	3339
159	632	3323
160	634	3304
161	635	3289
162	638	3276
163	640	3263
164	644	3263
165	646	3249
166	649	3237
167	651	3224
168	653	3211
169	655	3201
170	659	3199
171	662	3187
172	664	3174
173	666	3163
174	669	3153
175	670	3140
176	673	3133
177	676	3122
178	678	3109
179	679	3096
180	682	3087
181	684	3077
182	687	3070
183	689	3058
184	691	3047
185	693	3036
186	695	3025
187	697	3014
188	699	3002
189	701	2989
190	703	2981
191	706	2971
192	707	2959
193	710	2950
194	712	2940
195	714	2929
196	717	2923
197	719	2914
198	722	2906
199	723	2894
200	725	2884
201	727	2875
202	729	2863
203	733	2861
204	735	2851
205	737	2841
206	739	2832
207	741	2825
208	745	2820
209	750	2823
210	752	2815
211	755	2807
212	757	2797
213	759	2789
214	763	2788
215	766	2781
216	768	2772
217	770	2763
218	772	2756
219	774	2747
220	778	2744
221	780	2735
222	782	2726
223	784	2716
224	786	2708
225	788	2701
226	790	2691
227	793	2687
228	795	2678
229	797	2669
230	799	2660
231	801	2653
232	803	2645
233	805	2635
234	808	2631
235	810	2622
236	811	2614
237	814	2608
238	816	2599
239	819	2595
240	821	2586
241	823	2579
242	825	2572
243	828	2565
244	830	2558
245	832	2551
246	836	2549
247	838	2541
248	839	2533
249	843	2529
250	845	2522
251	847	2515
252	855	2525
253	858	2520
254	863	2521
255	871	2531
256	873	2526
257	876	2520
258	878	2512
259	882	2511
260	884	2504
261	886	2497
262	888	2489
263	890	2482
264	892	2475
265	894	2467
266	897	2462
267	898	2455
268	907	2466
269	912	2467
270	916	2464
271	922	2469
272	927	2469
273	929	2463
274	932	2457
275	934	2450
276	936	2443
277	938	2436
278	941	2432
279	944	2428
280	947	2424
281	950	2419
282	952	2413
283	959	2417
284	961	2412
285	964	2407
286	966	2402
287	969	2396
288	975	2398
289	977	2393
290	980	2388
291	982	2383
292	984	2376
293	988	2374
294	991	2370
295	995	2366
296	999	2365
297	1003	2364
298	1014	2377
299	1016	2370
300	1022	2374
301	1024	2367
302	1026	2360
303	1028	2354
304	1030	2348
305	1034	2345
306	1036	2340
307	1040	2336
308	1044	2336
309	1049	2336
310	1052	2331
311	1055	2327
312	1058	2322
313	1060	2317
314	1064	2314
315	1067	2309
316	1069	2304
317	1075	2306
318	1081	2307
319	1085	2306
320	1087	2299
321	1089	2293
322	1090	2286
323	1092	2279
324	1096	2277
325	1098	2271
326	1101	2266
327	1111	2277
328	1116	2276
329	1119	2272
330	1125	2274
331	1128	2270
332	1131	2265
333	1133	2259
334	1134	2252
335	1136	2246
336	1140	2244
337	1142	2238
338	1144	2232
339	1146	2225
340	1148	2219
341	1150	2213
342	1152	2206
343	1154	2200
344	1156	2194
345	1158	2190
346	1160	2184
347	1163	2179
348	1165	2173
349	1168	2170
350	1171	2166
351	1179	2171
352	1184	2170
353	1191	2174
354	1195	2172
355	1200	2172
356	1204	2169
357	1207	2165
358	1209	2160
359	1211	2153
360	1214	2149
361	1216	2144
362	1219	2139
363	1220	2133
364	1223	2128
365	1226	2124
366	1234	2129
367	1238	2127
368	1242	2125
369	1248	2126
370	1251	2122
371	1254	2117
372	1256	2112
373	1259	2108
374	1262	2104
375	1266	2101
376	1268	2097
377	1272	2093
378	1279	2096
379	1282	2091
380	1286	2089
381	1291	2088
382	1295	2086
383	1298	2082
384	1307	2087
385	1308	2082
386	1310	2076
387	1312	2070
388	1314	2064
389	1315	2057
390	1317	2051
391	1319	2046
392	1323	2044
393	1325	2039
394	1327	2033
395	1329	2027
396	1330	2020
397	1332	2015
398	1336	2012
399	1338	2007
400	1339	2001
401	1341	1995
402	1343	1989
403	1345	1984
404	1346	1978
405	1348	1972
406	1350	1967
407	1352	1962
408	1354	1956
409	1355	1951
410	1358	1947
411	1361	1942
412	1363	1938
413	1367	1934
414	1369	1930
415	1371	1925
416	1375	1923
417	1379	1920
418	1381	1915
419	1384	1912
420	1391	1914
421	1400	1917
422	1405	1917
423	1408	1913
424	1413	1911
425	1415	1906
426	1417	1901
427	1419	1897
428	1421	1892
429	1427	1892
430	1429	1887
431	1432	1883
432	1435	1879
433	1441	1880
434	1446	1878
435	1448	1873
436	1452	1871
437	1454	1865
438	1479	1890
439	1482	1886
440	1485	1882
441	1489	1881
442	1493	1877
443	1497	1874
444	1499	1870
445	1505	1869
446	1508	1866
447	1515	1867
448	1517	1862
449	1522	1860
450	1524	1855
451	1527	1851
452	1529	1847
453	1532	1842
454	1536	1840
455	1540	1837
456	1542	1832
457	1546	1830
458	1548	1825
459	1550	1820
460	1552	1815
461	1554	1810
462	1556	1805
463	1558	1800
464	1559	1794
465	1561	1789
466	1564	1785
467	1566	1780
468	1567	1775
469	1569	1770
470	1571	1765
471	1573	1760
472	1575	1755
473	1576	1749
474	1579	1745
475	1581	1740
476	1582	1735
477	1584	1730
478	1585	1725
479	1587	1720
480	1589	1714
481	1590	1709
482	1595	1707
483	1597	1702
484	1598	1697
485	1600	1692
486	1602	1687
487	1603	1682
488	1605	1677
489	1609	1675
490	1611	1670
491	1613	1666
492	1615	1661
493	1616	1656
494	1618	1651
495	1620	1646
496	1622	1642
497	1624	1637
498	1626	1633
499	1628	1628
500	1629	1623
501	1631	1618
502	1633	1614
503	1634	1608
504	1636	1603
505	1638	1599
506	1641	1595
507	1642	1591
508	1644	1586
509	1646	1582
510	1648	1577
511	1652	1574
512	1654	1570
513	1656	1565
514	1657	1561
515	1659	1556
516	1661	1552
517	1662	1547
518	1664	1542
519	1667	1539
520	1669	1534
521	1671	1530
522	1672	1525
523	1674	1521
524	1676	1516
525	1677	1512
526	1679	1507
527	1682	1504
528	1685	1500
529	1686	1495
530	1688	1491
531	1690	1487
532	1691	1482
533	1693	1477
534	1695	1473
535	1697	1469
536	1700	1465
537	1702	1461
538	1705	1458
539	1707	1454
540	1712	1453
541	1714	1449
542	1717	1445
543	1722	1443
544	1729	1443
545	1734	1442
546	1739	1440
547	1743	1437
548	1747	1435
549	1749	1431
550	1752	1427
551	1754	1423
552	1755	1419
553	1759	1416
554	1761	1412
555	1763	1408
556	1766	1405
557	1769	1401
558	1776	1401
559	1780	1399
560	1784	1396
561	1788	1393
562	1791	1390
563	1801	1392
564	1806	1390
565	1810	1388
566	1814	1385
567	1818	1383
568	1821	1379
569	1823	1375
570	1827	1372
571	1829	1368
572	1830	1364
573	1835	1362
574	1837	1358
575	1840	1354
576	1842	1350
577	1844	1346
578	1847	1343
579	1850	1340
580	1854	1337
581	1857	1334
582	1860	1330
583	1864	1327
584	1866	1323
585	1868	1319
