iter	Passed	Remaining
0	2	210
1	3	186
2	5	165
3	6	149
4	7	142
5	8	137
6	10	133
7	11	132
8	13	139
9	15	141
10	17	138
11	18	135
12	19	132
13	21	129
14	22	126
15	23	124
16	25	122
17	27	126
18	29	126
19	31	125
20	32	122
21	33	120
22	35	117
23	36	115
24	37	113
25	39	111
26	40	109
27	43	111
28	44	109
29	46	108
30	47	106
31	49	104
32	50	102
33	51	100
34	53	98
35	54	96
36	56	96
37	58	95
38	60	93
39	61	92
40	62	90
41	63	87
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	72	78
48	74	77
49	75	75
50	77	74
51	78	72
52	79	70
53	80	68
54	81	66
55	83	65
56	85	64
57	87	63
58	89	62
59	91	60
60	92	59
61	93	57
62	95	55
63	96	54
64	97	52
65	99	51
66	101	50
67	103	48
68	105	47
69	106	45
70	107	44
71	109	42
72	110	40
73	112	39
74	113	37
75	116	36
76	117	35
77	119	33
78	120	32
79	122	30
80	123	28
81	124	27
82	127	26
83	129	24
84	131	23
85	132	21
86	134	20
87	135	18
88	136	16
89	138	15
90	139	13
91	140	12
92	141	10
93	143	9
94	145	7
95	147	6
96	148	4
97	150	3
98	151	1
99	152	0
